,TID,ALDER,CIVILSTAND,INDHOLD
0,2022K3,0 år,Ugift,61982
1,2022K3,0 år,Gift/separeret,0
2,2022K3,1 år,Ugift,62688
3,2022K3,1 år,Gift/separeret,0
4,2022K3,2 år,Ugift,62795
5,2022K3,2 år,Gift/separeret,0
6,2022K3,3 år,Ugift,61930
7,2022K3,3 år,Gift/separeret,0
8,2022K3,4 år,Ugift,63326
9,2022K3,4 år,Gift/separeret,0
10,2022K3,5 år,Ugift,63468
11,2022K3,5 år,Gift/separeret,0
12,2022K3,6 år,Ugift,62254
13,2022K3,6 år,Gift/separeret,0
14,2022K3,7 år,Ugift,59609
15,2022K3,7 år,Gift/separeret,0
16,2022K3,8 år,Ugift,58986
17,2022K3,8 år,Gift/separeret,0
18,2022K3,9 år,Ugift,60861
19,2022K3,9 år,Gift/separeret,0
20,2022K3,10 år,Ugift,61949
21,2022K3,10 år,Gift/separeret,0
22,2022K3,11 år,Ugift,65152
23,2022K3,11 år,Gift/separeret,0
24,2022K3,12 år,Ugift,67570
25,2022K3,12 år,Gift/separeret,0
26,2022K3,13 år,Ugift,68918
27,2022K3,13 år,Gift/separeret,0
28,2022K3,14 år,Ugift,69321
29,2022K3,14 år,Gift/separeret,0
30,2022K3,15 år,Ugift,68611
31,2022K3,15 år,Gift/separeret,0
32,2022K3,16 år,Ugift,68969
33,2022K3,16 år,Gift/separeret,0
34,2022K3,17 år,Ugift,68889
35,2022K3,17 år,Gift/separeret,0
36,2022K3,18 år,Ugift,69399
37,2022K3,18 år,Gift/separeret,12
38,2022K3,19 år,Ugift,68744
39,2022K3,19 år,Gift/separeret,92
40,2022K3,20 år,Ugift,70400
41,2022K3,20 år,Gift/separeret,228
42,2022K3,21 år,Ugift,73466
43,2022K3,21 år,Gift/separeret,561
44,2022K3,22 år,Ugift,73985
45,2022K3,22 år,Gift/separeret,995
46,2022K3,23 år,Ugift,75006
47,2022K3,23 år,Gift/separeret,1771
48,2022K3,24 år,Ugift,74050
49,2022K3,24 år,Gift/separeret,2868
50,2022K3,25 år,Ugift,75536
51,2022K3,25 år,Gift/separeret,4711
52,2022K3,26 år,Ugift,73552
53,2022K3,26 år,Gift/separeret,7005
54,2022K3,27 år,Ugift,72627
55,2022K3,27 år,Gift/separeret,10046
56,2022K3,28 år,Ugift,66934
57,2022K3,28 år,Gift/separeret,13693
58,2022K3,29 år,Ugift,62774
59,2022K3,29 år,Gift/separeret,17630
60,2022K3,30 år,Ugift,57042
61,2022K3,30 år,Gift/separeret,21558
62,2022K3,31 år,Ugift,52698
63,2022K3,31 år,Gift/separeret,24899
64,2022K3,32 år,Ugift,47848
65,2022K3,32 år,Gift/separeret,27693
66,2022K3,33 år,Ugift,43315
67,2022K3,33 år,Gift/separeret,29687
68,2022K3,34 år,Ugift,38268
69,2022K3,34 år,Gift/separeret,31259
70,2022K3,35 år,Ugift,35042
71,2022K3,35 år,Gift/separeret,32639
72,2022K3,36 år,Ugift,32238
73,2022K3,36 år,Gift/separeret,33377
74,2022K3,37 år,Ugift,29087
75,2022K3,37 år,Gift/separeret,33392
76,2022K3,38 år,Ugift,26698
77,2022K3,38 år,Gift/separeret,33805
78,2022K3,39 år,Ugift,24924
79,2022K3,39 år,Gift/separeret,34127
80,2022K3,40 år,Ugift,23725
81,2022K3,40 år,Gift/separeret,35770
82,2022K3,41 år,Ugift,22791
83,2022K3,41 år,Gift/separeret,36473
84,2022K3,42 år,Ugift,22542
85,2022K3,42 år,Gift/separeret,38811
86,2022K3,43 år,Ugift,21792
87,2022K3,43 år,Gift/separeret,39495
88,2022K3,44 år,Ugift,20785
89,2022K3,44 år,Gift/separeret,40228
90,2022K3,45 år,Ugift,20255
91,2022K3,45 år,Gift/separeret,40051
92,2022K3,46 år,Ugift,20875
93,2022K3,46 år,Gift/separeret,43296
94,2022K3,47 år,Ugift,20442
95,2022K3,47 år,Gift/separeret,44629
96,2022K3,48 år,Ugift,19511
97,2022K3,48 år,Gift/separeret,43576
98,2022K3,49 år,Ugift,18906
99,2022K3,49 år,Gift/separeret,44540
100,2022K3,50 år,Ugift,18895
101,2022K3,50 år,Gift/separeret,46444
102,2022K3,51 år,Ugift,17366
103,2022K3,51 år,Gift/separeret,44326
104,2022K3,52 år,Ugift,16285
105,2022K3,52 år,Gift/separeret,43267
106,2022K3,53 år,Ugift,16177
107,2022K3,53 år,Gift/separeret,43594
108,2022K3,54 år,Ugift,16484
109,2022K3,54 år,Gift/separeret,46301
110,2022K3,55 år,Ugift,17439
111,2022K3,55 år,Gift/separeret,49964
112,2022K3,56 år,Ugift,16858
113,2022K3,56 år,Gift/separeret,50302
114,2022K3,57 år,Ugift,15833
115,2022K3,57 år,Gift/separeret,48980
116,2022K3,58 år,Ugift,15289
117,2022K3,58 år,Gift/separeret,48182
118,2022K3,59 år,Ugift,13984
119,2022K3,59 år,Gift/separeret,45916
120,2022K3,60 år,Ugift,13072
121,2022K3,60 år,Gift/separeret,44924
122,2022K3,61 år,Ugift,12141
123,2022K3,61 år,Gift/separeret,43707
124,2022K3,62 år,Ugift,11381
125,2022K3,62 år,Gift/separeret,42979
126,2022K3,63 år,Ugift,10561
127,2022K3,63 år,Gift/separeret,42134
128,2022K3,64 år,Ugift,10292
129,2022K3,64 år,Gift/separeret,42510
130,2022K3,65 år,Ugift,9694
131,2022K3,65 år,Gift/separeret,41929
132,2022K3,66 år,Ugift,8886
133,2022K3,66 år,Gift/separeret,41381
134,2022K3,67 år,Ugift,8235
135,2022K3,67 år,Gift/separeret,40350
136,2022K3,68 år,Ugift,7664
137,2022K3,68 år,Gift/separeret,39719
138,2022K3,69 år,Ugift,6960
139,2022K3,69 år,Gift/separeret,40187
140,2022K3,70 år,Ugift,6184
141,2022K3,70 år,Gift/separeret,37724
142,2022K3,71 år,Ugift,5466
143,2022K3,71 år,Gift/separeret,37908
144,2022K3,72 år,Ugift,5017
145,2022K3,72 år,Gift/separeret,37980
146,2022K3,73 år,Ugift,4496
147,2022K3,73 år,Gift/separeret,37826
148,2022K3,74 år,Ugift,4144
149,2022K3,74 år,Gift/separeret,38536
150,2022K3,75 år,Ugift,3866
151,2022K3,75 år,Gift/separeret,39864
152,2022K3,76 år,Ugift,3482
153,2022K3,76 år,Gift/separeret,38302
154,2022K3,77 år,Ugift,2914
155,2022K3,77 år,Gift/separeret,34268
156,2022K3,78 år,Ugift,2486
157,2022K3,78 år,Gift/separeret,29873
